Minute,Second,Stress/No Stress,Reaction/No Reaction
0,10,Stress,No Reaction
0,20,Stress,No Reaction
0,30,Stress,No Reaction
0,40,No Stress,No Reaction
0,50,Stress,Reaction
0,60,Stress,No Reaction
1,70,Stress,No Reaction
1,80,No Stress,No Reaction
1,90,Stress,No Reaction
1,100,Stress,Reaction
1,110,Stress,No Reaction
1,120,Stress,Reaction
2,130,No Stress,No Reaction
2,140,Stress,Reaction
2,150,Stress,No Reaction
2,160,No Stress,No Reaction
2,170,Stress,No Reaction
2,180,Stress,No Reaction
3,190,Stress,No Reaction
3,200,No Stress,No Reaction
3,210,Stress,No Reaction
3,220,Stress,No Reaction
3,230,Stress,No Reaction
3,240,Stress,No Reaction
4,250,Stress,No Reaction
4,260,Stress,No Reaction
4,270,Stress,No Reaction
4,280,Stress,No Reaction
4,290,No Stress,No Reaction
4,300,No Stress,No Reaction
5,310,Stress,No Reaction
5,320,Stress,No Reaction
5,330,Stress,No Reaction
5,340,No Stress,No Reaction
5,350,Stress,No Reaction
5,360,Stress,Reaction
6,370,Stress,No Reaction
6,380,Stress,No Reaction
6,390,No Stress,No Reaction
6,400,Stress,Reaction
6,410,Stress,No Reaction
6,420,Stress,No Reaction
7,430,No Stress,No Reaction
7,440,Stress,No Reaction
7,450,No Stress,No Reaction
7,460,,
7,470,,
7,480,,
